Date ,Open,High,Low,Close,Volume
15-Dec-10,"1,085.10","1,108.40","1,081.50","1,103.65","12,86,017"
16-Dec-10,"1,109.00","1,144.00","1,104.15","1,140.70","22,57,852"
20-Dec-10,"1,134.80","1,177.00","1,114.85","1,166.70","22,57,023"
21-Dec-10,"1,169.00","1,172.25","1,154.00","1,160.80","14,05,321"
22-Dec-10,"1,167.00","1,169.00","1,137.75","1,149.75","15,93,418"
23-Dec-10,"1,150.00","1,159.55","1,132.10","1,140.00","14,25,462"
24-Dec-10,"1,134.00","1,148.80","1,125.75","1,141.10","8,12,320"
27-Dec-10,"1,145.00","1,159.45","1,138.20","1,141.20","8,32,468"
28-Dec-10,"1,141.20","1,150.90","1,140.05","1,146.35","5,06,438"
29-Dec-10,"1,149.00","1,162.00","1,147.05","1,156.95","5,21,185"
30-Dec-10,"1,152.50","1,174.80","1,152.50","1,170.20","19,22,776"
31-Dec-10,"1,172.50","1,180.00","1,161.80","1,165.65","7,66,490"
03-Jan-11,"1,167.00","1,176.95","1,154.55","1,158.05","7,02,521"
04-Jan-11,"1,163.90","1,166.15","1,138.10","1,144.75","12,51,434"
05-Jan-11,"1,145.25","1,165.90","1,141.75","1,158.95","15,34,837"
06-Jan-11,"1,168.00","1,182.00","1,153.10","1,171.70","14,23,360"
07-Jan-11,"1,176.00","1,186.85","1,138.15","1,142.65","12,66,362"
10-Jan-11,"1,147.50","1,149.00","1,121.00","1,130.90","19,76,213"
11-Jan-11,"1,123.00","1,135.55","1,087.80","1,098.50","18,84,365"
12-Jan-11,"1,109.90","1,151.60","1,108.00","1,135.95","15,80,437"
13-Jan-11,"1,128.95","1,155.95","1,116.20","1,124.25","27,94,599"
14-Jan-11,"1,129.90","1,150.00","1,120.00","1,120.15","15,75,846"
17-Jan-11,"1,121.20","1,146.55","1,120.00","1,137.40","15,00,106"
18-Jan-11,"1,174.00","1,208.90","1,164.35","1,202.55","42,40,685"
19-Jan-11,"1,203.45","1,209.00","1,185.00","1,193.00","14,76,020"
20-Jan-11,"1,180.00","1,218.75","1,180.00","1,212.20","22,72,604"
21-Jan-11,"1,210.00","1,220.00","1,204.00","1,211.65","12,98,702"
24-Jan-11,"1,200.00","1,220.00","1,198.25","1,209.20","10,08,339"
25-Jan-11,"1,214.80","1,219.30","1,180.00","1,188.55","12,33,547"
27-Jan-11,"1,187.55","1,209.95","1,181.60","1,199.40","23,57,059"
28-Jan-11,"1,195.00","1,203.60","1,165.25","1,181.35","15,07,289"
31-Jan-11,"1,169.00","1,169.00","1,128.55","1,159.50","29,70,408"
01-Feb-11,"1,165.00","1,165.00","1,133.00","1,150.15","21,06,354"
02-Feb-11,"1,170.00","1,198.90","1,162.35","1,182.45","19,68,809"
03-Feb-11,"1,184.70","1,195.70","1,170.65","1,183.70","9,41,706"
04-Feb-11,"1,176.00","1,183.10","1,140.25","1,148.80","17,28,800"
07-Feb-11,"1,173.50","1,173.50","1,126.50","1,131.15","12,89,191"
08-Feb-11,"1,132.00","1,149.90","1,118.50","1,125.10","26,44,319"
09-Feb-11,"1,122.50","1,129.60","1,083.70","1,098.30","30,06,366"
10-Feb-11,"1,100.00","1,114.50","1,072.00","1,090.75","22,75,911"
11-Feb-11,"1,084.10","1,104.20","1,055.90","1,089.60","14,72,528"
14-Feb-11,"1,091.00","1,120.00","1,087.00","1,112.30","12,31,274"
15-Feb-11,"1,119.00","1,119.00","1,076.55","1,097.70","18,12,713"
16-Feb-11,"1,105.00","1,109.70","1,081.00","1,096.50","12,32,296"
17-Feb-11,"1,105.00","1,114.45","1,092.40","1,109.20","7,38,880"
18-Feb-11,"1,110.25","1,132.40","1,082.10","1,089.70","20,38,464"
21-Feb-11,"1,090.00","1,148.00","1,058.20","1,138.60","28,28,900"
22-Feb-11,"1,122.65","1,147.70","1,120.00","1,138.75","16,52,700"
23-Feb-11,"1,128.15","1,144.95","1,123.10","1,125.55","9,39,672"
24-Feb-11,"1,119.00","1,138.75","1,091.30","1,111.80","26,89,415"
25-Feb-11,"1,105.30","1,117.00","1,088.25","1,110.05","15,35,237"
28-Feb-11,"1,101.20","1,148.25","1,100.00","1,110.25","16,14,698"
01-Mar-11,"1,113.00","1,132.00","1,097.60","1,124.50","15,83,902"
03-Mar-11,"1,119.90","1,155.00","1,107.00","1,150.20","17,26,300"
04-Mar-11,"1,163.35","1,163.35","1,132.50","1,135.55","10,30,599"
07-Mar-11,"1,124.00","1,125.00","1,094.45","1,108.25","20,92,294"
08-Mar-11,"1,105.15","1,128.80","1,105.15","1,117.70","19,73,951"
09-Mar-11,"1,122.55","1,138.00","1,118.50","1,126.70","12,12,243"
10-Mar-11,"1,122.00","1,122.00","1,100.00","1,108.55","9,35,662"
11-Mar-11,"1,100.00","1,102.40","1,063.30","1,077.05","25,06,441"
14-Mar-11,"1,071.00","1,102.00","1,058.40","1,097.55","16,24,309"
15-Mar-11,"1,075.00","1,095.45","1,065.65","1,089.80","17,05,934"
16-Mar-11,"1,092.00","1,123.45","1,091.15","1,114.85","13,38,937"
17-Mar-11,"1,105.00","1,118.90","1,092.65","1,098.00","10,28,051"
18-Mar-11,"1,093.50","1,109.00","1,076.10","1,082.75","11,05,674"
21-Mar-11,"1,091.50","1,091.50","1,066.50","1,070.80","13,09,545"
22-Mar-11,"1,075.10","1,080.00","1,063.00","1,069.50","13,28,887"
23-Mar-11,"1,071.00","1,071.00","1,057.25","1,064.35","21,76,124"
24-Mar-11,"1,071.00","1,095.55","1,070.00","1,093.40","15,47,417"
25-Mar-11,"1,116.85","1,128.50","1,103.75","1,119.65","20,73,217"
28-Mar-11,"1,123.85","1,126.70","1,108.00","1,119.90","11,24,321"
29-Mar-11,"1,120.00","1,151.90","1,119.15","1,138.70","15,79,794"
30-Mar-11,"1,148.00","1,164.00","1,144.90","1,151.95","11,47,385"
31-Mar-11,"1,152.00","1,198.00","1,152.00","1,183.90","36,97,063"
01-Apr-11,"1,185.00","1,198.75","1,172.55","1,180.15","8,99,812"
04-Apr-11,"1,185.00","1,216.00","1,184.00","1,213.20","11,55,808"
05-Apr-11,"1,215.05","1,243.95","1,203.75","1,239.85","14,45,507"
06-Apr-11,"1,239.00","1,246.95","1,214.15","1,221.85","12,11,176"
07-Apr-11,"1,220.00","1,220.00","1,195.15","1,199.20","10,74,508"
08-Apr-11,"1,196.90","1,214.00","1,184.75","1,196.00","9,91,884"
11-Apr-11,"1,180.15","1,195.00","1,175.30","1,178.40","11,28,116"
13-Apr-11,"1,175.00","1,221.40","1,174.30","1,210.10","18,78,765"
15-Apr-11,"1,216.90","1,219.90","1,180.00","1,191.40","37,83,385"
18-Apr-11,"1,198.00","1,212.50","1,140.05","1,144.60","38,82,727"
